Dynamics User Name,Trader,Role,Manager,Status,Leave Date,Team,Email,Manager Email
RC1,Trader1,Trader,Manager1,Employed,-,Team1,Trader1@company.com,Manager1@company.com
RC2,Trader2,Trader,Manager1,Employed,-,Team1,Trader2@company.com,Manager1@company.com
RC3,Trader3,Trader,Manager1,Left,6/23/2023,Team1,Trader3@company.com,Manager1@company.com
RC4,Trader4,Trader,Manager1,Left,2/22/2024,Team1,Trader4@company.com,Manager1@company.com
RC5,Trader5,Trader,Manager2,Employed,-,Team2,Trader5@company.com,Manager2@company.com
RC6,Trader6,Trader,Manager1,Employed,-,Team1,Trader6@company.com,Manager1@company.com
RC7,Trader7,Trader,Manager1,Left,1/6/2025,Team1,Trader7@company.com,Manager1@company.com
RC8,Trader8,Manager,Manager1,Left,9/24/2025,Team1,Trader8@company.com,Manager1@company.com
RC9,Trader9,Trader,Manager3,Employed,-,Team3,Trader9@company.com,Manager3@company.com
RC10,Trader10,Trader,Manager4,Left,11/7/2023,Team4,Trader10@company.com,Manager4@company.com
RC11,Trader11,Trader,Manager4,Left,8/29/2025,Team5,Trader11@company.com,Manager4@company.com
RC12,Trader12,Trader,Manager1,Left,12/8/2024,Team1,Trader12@company.com,Manager1@company.com
RC13,Trader13,Trader,Manager5,Left,10/22/2025,Team6,Trader13@company.com,Manager5@company.com
RC14,Trader14,Trader,Manager1,Left,10/1/2024,Team1,Trader14@company.com,Manager1@company.com
RC15,Trader15,Trader,Manager1,Left,10/9/2023,Team1,Trader15@company.com,Manager1@company.com
RC16,Trader16,Trader,Manager1,Left,5/16/2024,Team1,Trader16@company.com,Manager1@company.com
RC17,Trader17,Trader,Manager1,Employed,-,Team7,Trader17@company.com,Manager1@company.com
RC18,Trader18,Trader,Manager2,Left,7/15/2024,Team4,Trader18@company.com,Manager2@company.com
RC19,Trader19,Manager,Manager5,Left,10/30/2025,Team6,Trader19@company.com,Manager5@company.com
RC20,Trader20,Trader,Manager2,Employed,-,Team4,Trader20@company.com,Manager2@company.com
RC21,Trader21,Trader,Manager2,Left,2/29/2024,Team2,Trader21@company.com,Manager2@company.com
RC22,Trader22,Trader,Manager2,Employed,-,Team4,Trader22@company.com,Manager2@company.com
RC23,Trader23,Trader,Manager1,Left,1/19/2024,Team7,Trader23@company.com,Manager1@company.com
RC24,Trader24,Trader,Manager2,Employed,-,Team4,Trader24@company.com,Manager2@company.com
RC25,Trader25,Trader,Manager1,Left,3/11/2024,Team1,Trader25@company.com,Manager1@company.com
RC26,Trader26,Manager,Manager3,Employed,-,Team3,Trader26@company.com,Manager3@company.com
RC27,Trader27,Trader,Manager1,Employed,-,Team1,Trader27@company.com,Manager1@company.com
RC28,Trader28,Trader,Manager1,Employed,-,Team1,Trader28@company.com,Manager1@company.com
RC29,Trader29,Trader,Manager2,Employed,-,Team4,Trader29@company.com,Manager2@company.com
RC30,Trader30,Trader,Manager6,Employed,-,Team8,Trader30@company.com,Manager6@company.com
RC31,Trader31,Trader,Manager4,Left,1/1/2024,Team5,Trader31@company.com,Manager4@company.com
RC32,Trader32,Trader,Manager6,Employed,-,Team8,Trader32@company.com,Manager6@company.com
RC33,Trader33,CCO,Manager7,Employed,-,Team9,Trader33@company.com,Manager7@company.com
RC34,Trader34,Trader,Manager1,Left,12/30/2024,Team1,Trader34@company.com,Manager1@company.com
RC35,Trader35,Trader,Manager2,Employed,-,Team4,Trader35@company.com,Manager2@company.com
RC36,Trader36,Trader,Manager2,Left,3/26/2024,Team2,Trader36@company.com,Manager2@company.com
RC37,Trader37,Trader,Manager4,Left,6/1/2024,Team5,Trader37@company.com,Manager4@company.com
RC38,Trader38,Trader,Manager4,Employed,-,Team10,Trader38@company.com,Manager4@company.com
RC39,Trader39,Trader,Manager2,Employed,-,Team2,Trader39@company.com,Manager2@company.com
RC40,Trader40,Manager,Manager2,Employed,-,Team4,Trader40@company.com,Manager2@company.com
RC41,Trader41,Trader,Manager2,Left,3/31/2025,Team4,Trader41@company.com,Manager2@company.com
RC42,Trader42,Trader,Manager6,Employed,-,Team8,Trader42@company.com,Manager6@company.com
RC43,Trader43,Trader,Manager1,Left,11/8/2024,Team1,Trader43@company.com,Manager1@company.com
RC44,Trader44,Manager,Manager1,Left,5/24/2024,Team1,Trader44@company.com,Manager1@company.com
RC45,Trader45,Trader,Manager4,Left,8/29/2025,Team11,Trader45@company.com,Manager4@company.com
RC46,Trader46,Trader,Manager1,Employed,-,Team1,Trader46@company.com,Manager1@company.com
RC47,Trader47,Trader,Manager1,Employed,-,Team7,Trader47@company.com,Manager1@company.com
RC48,Trader48,Trader,Manager2,Left,10/4/2024,Team4,Trader48@company.com,Manager2@company.com
RC49,Trader49,Credit Analyst,Manager1,Employed,-,Team1,Trader49@company.com,Manager1@company.com
RC50,Trader50,Trader,Manager1,Employed,-,Team1,Trader50@company.com,Manager1@company.com
RC51,Trader51,Trader,Manager1,Employed,-,Team1,Trader51@company.com,Manager1@company.com
RC52,Trader52,Trader,Manager1,Employed,-,Team7,Trader52@company.com,Manager1@company.com
RC53,Trader53,Trader,Manager1,Left,3/25/2024,Team1,Trader53@company.com,Manager1@company.com
RC54,Trader54,Trader,Manager8,Left,5/1/2025,Team12,Trader54@company.com,Manager8@company.com
RC55,Trader55,Manager,Manager1,Left,5/29/2024,Team1,Trader55@company.com,Manager1@company.com
RC56,Trader56,Trader,Manager1,Left,9/30/2024,Team1,Trader56@company.com,Manager1@company.com
RC57,Trader57,Trader,Manager2,Left,11/30/2024,Team4,Trader57@company.com,Manager2@company.com
RC58,Trader58,Trader,Manager1,Employed,-,Team1,Trader58@company.com,Manager1@company.com
RC59,Trader59,Trader,Manager4,Left,1/1/2024,Team5,Trader59@company.com,Manager4@company.com
RC60,Trader60,Trader,Manager4,Employed,-,Team5,Trader60@company.com,Manager4@company.com
RC61,Trader61,Trader,Manager1,Left,1/17/2024,Team7,Trader61@company.com,Manager1@company.com
RC62,Trader62,Trader,Manager2,Left,2/14/2024,Team4,Trader62@company.com,Manager2@company.com
RC63,Trader63,Trader,Manager6,Left,9/30/2024,Team8,Trader63@company.com,Manager6@company.com
RC64,Trader64,Trader,Manager6,Left,5/1/2024,Team8,Trader64@company.com,Manager6@company.com
RC65,Trader65,Manager,Manager6,Employed,-,Team8,Trader65@company.com,Manager6@company.com
RC66,Trader66,Trader,Manager1,Left,6/14/2024,Team1,Trader66@company.com,Manager1@company.com
RC67,Trader67,Trader,Manager1,Employed,-,Team1,Trader67@company.com,Manager1@company.com
RC68,Trader68,Trader,Manager6,Left,2/17/2025,Team8,Trader68@company.com,Manager6@company.com
RC69,Trader69,Trader,Manager2,Left,8/22/2022,Team2,Trader69@company.com,Manager2@company.com
RC70,Trader70,Trader,Manager1,Employed,-,Team1,Trader70@company.com,Manager1@company.com
RC71,Trader71,Trader,Manager2,Employed,-,Team2,Trader71@company.com,Manager2@company.com
RC72,Trader72,CEO,Manager7,Employed,-,Team9,Trader72@company.com,Manager7@company.com
RC73,Trader73,Trader,Manager1,Employed,-,Team1,Trader73@company.com,Manager1@company.com
RC74,Trader74,Trader,Manager1,Employed,-,Team7,Trader74@company.com,Manager1@company.com
RC75,Trader75,Trader,Manager1,Employed,-,Team1,Trader75@company.com,Manager1@company.com
RC76,Trader76,Trader,Manager8,Employed,-,Team12,Trader76@company.com,Manager8@company.com
RC77,Trader77,Trader,Manager9,Employed,-,Team13,Trader77@company.com,Manager9@company.com
RC78,Trader78,Manager,Manager9,Employed,-,Team13,Trader78@company.com,Manager9@company.com
RC79,Trader79,Trader,Manager1,Employed,-,Team1,Trader79@company.com,Manager1@company.com
RC80,Trader80,Manager,Manager8,Employed,-,Team12,Trader80@company.com,Manager8@company.com
RC81,Trader81,Trader,Manager8,Employed,-,Team12,Trader81@company.com,Manager8@company.com
RC82,Trader82,Manager,Manager1,Employed,-,Team1,Trader82@company.com,Manager1@company.com
RC83,Trader83,Trader,Manager4,Employed,-,Team14,Trader83@company.com,Manager4@company.com
RC84,Trader84,Trader,Manager1,Employed,-,Team1,Trader84@company.com,Manager1@company.com
RC85,Trader85,Trader,Manager2,Employed,-,Team4,Trader85@company.com,Manager2@company.com
